title,author,price,rating,number_of_ratings,product_url
Harry Potter and the Cursed Child - Parts I & II,J. K. Rowling,$34.65,3.86,72,https://www.bookdepository.com/Harry-Potter-Cursed-Child-Parts-I-II-J-K-Rowling/9780751565355
Daisy Jones and The Six,Taylor Jenkins Reid,$22.29,4.24,964371,https://www.bookdepository.com/Daisy-Jones-Six-Taylor-Jenkins-Reid/9781787462144
It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,$19.78,4.29,2290192,https://www.bookdepository.com/It-Ends-With-Us-most-heartbreaking-novel-youll-ever-read-Colleen-Hoover/9781471156267
The Original Rider Waite Tarot Deck,A.E. Waite,$24.04,4.28,207,https://www.bookdepository.com/Original-Rider-Waite-Tarot-Deck-E-Waite/9780712670579
Heaven Official's Blessing,Mo Xiang Tong Xiu,$33.10,4.68,13727,https://www.bookdepository.com/Heaven-Officials-Blessing-Mo-Xiang-Tong-Xiu/9781648279171
"Chainsaw Man, Vol. 1",Tatsuki Fujimoto,$17.78,4.38,52540,https://www.bookdepository.com/Chainsaw-Man-Vol-1-Tatsuki-Fujimoto/9781974709939
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,$37.08,4.29,246602,https://www.bookdepository.com/Tomorrow-Tomorrow-Tomorrow-Gabrielle-Zevin/9781784744649
Harry Potter Box Set: The Complete Collection (Children's Paperback),J. K. Rowling,$118.45,4.74,277394,https://www.bookdepository.com/Harry-Potter-Box-Set-Complete-Collection-Childrens-Paperback-J-K-Rowling/9781408856772
A Court of Thorns and Roses,Sarah J. Maas,$21.68,4.2,1397414,https://www.bookdepository.com/Court-Thorns-Roses-Sarah-J-Maas/9781526605399
Throne of Glass,Sarah J. Maas,$21.19,4.19,988462,https://www.bookdepository.com/Throne-Glass-Sarah-J-Maas/9781408832332
"Vagabond (VIZBIG Edition), Vol. 1",Takehiko Inoue,$40.08,4.55,3559,https://www.bookdepository.com/Vagabond-VIZBIG-Edition-Vol-1-Takehiko-Inoue/9781421520544
Once Upon A Broken Heart,Stephanie Garber,$19.76,4.14,92216,https://www.bookdepository.com/Once-Upon-Broken-Heart-Stephanie-Garber/9781529380941
Throne of Glass,Sarah J. Maas,$21.19,4.19,988462,https://www.bookdepository.com/Throne-Glass-Sarah-J-Maas/9781408832332
The Secret History,Donna Tartt,$25.75,4.17,556185,https://www.bookdepository.com/Secret-History-Donna-Tartt/9780140167771
The Hobbit and the Lord of the Rings,J. R. R. Tolkien,$82.98,4.61,126575,https://www.bookdepository.com/Hobbit-Lord-Rings-J-R-R-Tolkien/9780544445789
Jujutsu Kaisen 0,Gege Akutami,$17.96,4.54,39495,https://www.bookdepository.com/Jujutsu-Kaisen-0-Gege-Akutami/9781974720149
Atomic Habits,James Clear,$31.24,4.38,583451,https://www.bookdepository.com/Atomic-Habits-James-Clear/9781847941831
The Song of Achilles,Madeline Miller,$21.09,4.37,1122130,https://www.bookdepository.com/Song-Achilles-Madeline-Miller/9781408891384
The Alloy of Law,Brandon Sanderson,$18.78,4.21,187422,https://www.bookdepository.com/Alloy-Law-Brandon-Sanderson/9780575105836
Shatter Me,Tahereh Mafi,$22.40,3.9,624770,https://www.bookdepository.com/Shatter-Me-Tahereh-Mafi/9780062085504
Berserk Deluxe Volume 1,Kentaro Miura,$94.45,4.62,6415,https://www.bookdepository.com/Berserk-Deluxe-1-Kentaro-Miura/9781506711980
JoJo's Bizarre Adventure,Hirohiko Araki,$36.01,4.35,2890,https://www.bookdepository.com/JoJos-Bizarre-Adventure-Hirohiko-Araki/9781421578828
